"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"1930","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1931","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1946-02-01","instytut badawczy","1946-02-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1932","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1933","eb32ed60-5a78-4d98-a0b5-4ff511ef6d78","Sieć Badawcza Łukasiewicz - Łódzki Instytut Technologiczny","2022-04-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","521631148","7272857474","0000955824","","","","www.lit.lukasiewicz.gov.pl","sekretariat@lit.lukasiewicz.gov.pl","42 307 09 01","/LUKASIEWICZ-LIT/SkrytkaESP","Polska","łódzkie","Marii Skłodowskiej-Curie","19/27","90-570","Łódź","Radosław Paweł Dziuba - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Łódzki Instytut Technologiczny","2022-04-01","Sieć Badawcza Łukasiewicz - Instytut Włókiennictwa","d4b4e046-1c04-4e25-87d9-c751702f5048","000050239","7240000664","","","","Centrum Łukasiewicz","Połączenie","2022-04-01",,,,,,,,,,,"Centrum Łukasiewicz","2022-04-01","Działająca","2022-04-01","instytut Sieci Łukasiewicz","2022-04-01","ul. Marii Skłodowskiej-Curie 19/27, 90-570 Łódź, woj. łódzkie, Polska","2022-04-01"
"1934","eb32ed60-5a78-4d98-a0b5-4ff511ef6d78","Sieć Badawcza Łukasiewicz - Łódzki Instytut Technologiczny","2022-04-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","521631148","7272857474","0000955824","","","","www.lit.lukasiewicz.gov.pl","sekretariat@lit.lukasiewicz.gov.pl","42 307 09 01","/LUKASIEWICZ-LIT/SkrytkaESP","Polska","łódzkie","Marii Skłodowskiej-Curie","19/27","90-570","Łódź","Radosław Paweł Dziuba - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Łódzki Instytut Technologiczny","2022-04-01","Sieć Badawcza Łukasiewicz - Instytut Przemysłu Skórzanego","8e98cd4e-8bfc-4356-aeab-13cc7fab2332","470501376","7260128605","","","","Centrum Łukasiewicz","Połączenie","2022-04-01",,,,,,,,,,,"Centrum Łukasiewicz","2022-04-01","Działająca","2022-04-01","instytut Sieci Łukasiewicz","2022-04-01","ul. Marii Skłodowskiej-Curie 19/27, 90-570 Łódź, woj. łódzkie, Polska","2022-04-01"
"1935","eb32ed60-5a78-4d98-a0b5-4ff511ef6d78","Sieć Badawcza Łukasiewicz - Łódzki Instytut Technologiczny","2022-04-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","521631148","7272857474","0000955824","","","","www.lit.lukasiewicz.gov.pl","sekretariat@lit.lukasiewicz.gov.pl","42 307 09 01","/LUKASIEWICZ-LIT/SkrytkaESP","Polska","łódzkie","Marii Skłodowskiej-Curie","19/27","90-570","Łódź","Radosław Paweł Dziuba - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Łódzki Instytut Technologiczny","2022-04-01","Sieć Badawcza Łukasiewicz - Instytut Biopolimerów i Włókien Chemicznych","75887864-a6ed-43f0-8f4a-1879597282e7","000043133","7240000138","","","","Centrum Łukasiewicz","Połączenie","2022-04-01",,,,,,,,,,,"Centrum Łukasiewicz","2022-04-01","Działająca","2022-04-01","instytut Sieci Łukasiewicz","2022-04-01","ul. Marii Skłodowskiej-Curie 19/27, 90-570 Łódź, woj. łódzkie, Polska","2022-04-01"
"1936","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2007-11-15","Działająca","2007-11-15","inna instytucja naukowa","2007-11-15","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1937","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2007-11-15","Działająca","2007-11-15","instytut Sieci Łukasiewicz","2019-04-01","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1938","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Rada Nadzorcza działająca w imieniu Wspólników","2015-02-05","Działająca","2007-11-15","inna instytucja naukowa","2007-11-15","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1939","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Rada Nadzorcza działająca w imieniu Wspólników","2015-02-05","Działająca","2007-11-15","instytut Sieci Łukasiewicz","2019-04-01","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1940","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","2007-11-15","inna instytucja naukowa","2007-11-15","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1941","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2019-04-01",,,,,,,,,,,,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","2007-11-15","instytut Sieci Łukasiewicz","2019-04-01","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1942","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"Wrocławskie Centrum Badań EIT+ Sp. z o.o.","2007-11-15",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2007-11-15","Działająca","2007-11-15","inna instytucja naukowa","2007-11-15","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1943","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"Wrocławskie Centrum Badań EIT+ Sp. z o.o.","2007-11-15",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2007-11-15","Działająca","2007-11-15","instytut Sieci Łukasiewicz","2019-04-01","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1944","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"Wrocławskie Centrum Badań EIT+ Sp. z o.o.","2007-11-15",,,,,,,,,,,,,,,,,,,,,"Rada Nadzorcza działająca w imieniu Wspólników","2015-02-05","Działająca","2007-11-15","inna instytucja naukowa","2007-11-15","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1945","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"Wrocławskie Centrum Badań EIT+ Sp. z o.o.","2007-11-15",,,,,,,,,,,,,,,,,,,,,"Rada Nadzorcza działająca w imieniu Wspólników","2015-02-05","Działająca","2007-11-15","instytut Sieci Łukasiewicz","2019-04-01","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1946","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"Wrocławskie Centrum Badań EIT+ Sp. z o.o.","2007-11-15",,,,,,,,,,,,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","2007-11-15","inna instytucja naukowa","2007-11-15","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1947","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"Wrocławskie Centrum Badań EIT+ Sp. z o.o.","2007-11-15",,,,,,,,,,,,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","2007-11-15","instytut Sieci Łukasiewicz","2019-04-01","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1948","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"PORT Polski Ośrodek Rozwoju Technologi Sp. z o.o.","2018-08-27",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2007-11-15","Działająca","2007-11-15","inna instytucja naukowa","2007-11-15","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1949","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"PORT Polski Ośrodek Rozwoju Technologi Sp. z o.o.","2018-08-27",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2007-11-15","Działająca","2007-11-15","instytut Sieci Łukasiewicz","2019-04-01","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1950","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"PORT Polski Ośrodek Rozwoju Technologi Sp. z o.o.","2018-08-27",,,,,,,,,,,,,,,,,,,,,"Rada Nadzorcza działająca w imieniu Wspólników","2015-02-05","Działająca","2007-11-15","inna instytucja naukowa","2007-11-15","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1951","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"PORT Polski Ośrodek Rozwoju Technologi Sp. z o.o.","2018-08-27",,,,,,,,,,,,,,,,,,,,,"Rada Nadzorcza działająca w imieniu Wspólników","2015-02-05","Działająca","2007-11-15","instytut Sieci Łukasiewicz","2019-04-01","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1952","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"PORT Polski Ośrodek Rozwoju Technologi Sp. z o.o.","2018-08-27",,,,,,,,,,,,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","2007-11-15","inna instytucja naukowa","2007-11-15","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1953","b4a408ef-359b-46df-a6dc-5a0bb5511a72","Sieć Badawcza Łukasiewicz - PORT Polski Ośrodek Rozwoju Technologii","2007-11-15","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386585168","8943140523","0000850580","","","","https://www.port.luksiewicz.gov.pl","biuro@port.lukasiewicz.gov.pl","717201601","/eitplus/skrytka","Polska","dolnośląskie","Stabłowicka","147","54-066","Wrocław","Alicja Bachmatiuk - Dyrektor instytutu SBŁ","",,,,,"PORT Polski Ośrodek Rozwoju Technologi Sp. z o.o.","2018-08-27",,,,,,,,,,,,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","2007-11-15","instytut Sieci Łukasiewicz","2019-04-01","ul. Stabłowicka 147, 54-066 Wrocław, woj. dolnośląskie, Polska","2007-11-15"
"1954","eccf635d-f316-42c3-ad45-3cf0c9b58021","Sieć Badawcza Łukasiewicz - Poznański Instytut Technologiczny","1967-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386566426","7831822694","0000850093","","","","http://www.pit.lukasiewicz.gov.pl","office@pit.lukasiewicz.gov.pl","61 8504890","/LukasiewiczPIT/SkrytkaESP","Polska","wielkopolskie","Ewarysta Estkowskiego","6","61-755","Poznań","Arkadiusz Kawa - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Poznański Instytut Technologiczny","2022-01-01","Sieć Badawcza Łukasiewicz - Przemysłowy Instytut Maszyn Rolniczych","d11abbe1-101c-45d7-b85a-9699e97975ed","000033614","7770003280","","","","Centrum Łukasiewicz","Włączenie","2022-01-01",,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1967-01-01","Działająca","1967-01-01","instytut badawczy","1967-01-01","ul. Ewarysta Estkowskiego 6, 61-755 Poznań, woj. wielkopolskie, Polska","1967-01-01"
"1955","eccf635d-f316-42c3-ad45-3cf0c9b58021","Sieć Badawcza Łukasiewicz - Poznański Instytut Technologiczny","1967-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386566426","7831822694","0000850093","","","","http://www.pit.lukasiewicz.gov.pl","office@pit.lukasiewicz.gov.pl","61 8504890","/LukasiewiczPIT/SkrytkaESP","Polska","wielkopolskie","Ewarysta Estkowskiego","6","61-755","Poznań","Arkadiusz Kawa - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Poznański Instytut Technologiczny","2022-01-01","Sieć Badawcza Łukasiewicz - Przemysłowy Instytut Maszyn Rolniczych","d11abbe1-101c-45d7-b85a-9699e97975ed","000033614","7770003280","","","","Centrum Łukasiewicz","Włączenie","2022-01-01",,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1967-01-01","Działająca","1967-01-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Ewarysta Estkowskiego 6, 61-755 Poznań, woj. wielkopolskie, Polska","1967-01-01"
"1956","eccf635d-f316-42c3-ad45-3cf0c9b58021","Sieć Badawcza Łukasiewicz - Poznański Instytut Technologiczny","1967-01-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","386566426","7831822694","0000850093","","","","http://www.pit.lukasiewicz.gov.pl","office@pit.lukasiewicz.gov.pl","61 8504890","/LukasiewiczPIT/SkrytkaESP","Polska","wielkopolskie","Ewarysta Estkowskiego","6","61-755","Poznań","Arkadiusz Kawa - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Poznański Instytut Technologiczny","2022-01-01","Sieć Badawcza Łukasiewicz - Przemysłowy Instytut Maszyn Rolniczych","d11abbe1-101c-45d7-b85a-9699e97975ed","000033614","7770003280","","","","Centrum Łukasiewicz","Włączenie","2022-01-01",,,,,,,,,,,"Minister Rozwoju, Pracy i Technologii (poprzednio MR)","2015-11-16","Działająca","1967-01-01","instytut badawczy","1967-01-01","ul. Ewarysta Estkowskiego 6, 61-755 Poznań, woj. wielkopolskie, Polska","1967-01-01"
